1.4337,0.44728,0.74365,0.39524
4.1447e-09,4.1447e-09,4.1447e-09,4.1447e-09
0.87931,1.6518,1.6622,0.11605
0.93182,1.4,0.70256,0.010862
0.93523,0.36278,0.3356,0.40341
0.38295,0.95102,1.0939,0.13336
0.87866,0.36891,4.4703e-09,0.82355
1.4913,2.1218,2.1218,2.1218
1.1123,0.36041,0.71285,7.0778e-09
0.33231,1.6213,1.1436,1.4082
1.3544,0.065334,1.2626,1.8458
0.84066,0.39118,1.057,1.4704
2.2315,1.4242,0.35086,8.1421e-09
0.38841,0.38053,1.1217,6.6375e-09
0.36247,1.2356,1.7715,0.91849
1.2274,0.46584,9.2686e-09,0.59978
0.91917,0.3833,0.34351,0.51795
2.2271,1.392,0.16062,1.5051
1.6433,0.65049,1.0462,1.4751e-08
0.0089338,0.41472,0.36411,0.42304
1.4637,5.2684e-09,1.2277,0.405
0.27826,0.1197,0.83012,0.68121
2.316,2.316,1.1738,1.7541
0.79699,0.32837,0.34708,0.29657
0.54106,1.1129,0.01081,1.3113
0.41771,0.78092,1.8852,8.9936e-09
0.3469,0.40045,0.3618,1.0378
0.43783,0.4146,1.3517,1.1723
0.85823,1.0624,1.1179,1.1286
1.6135,0.040991,0.29185,0.38884
1.5705,1.992,1.0804,4.3016e-09
1.4162,0.73015,0.37349,8.1424e-09
0.35793,0.83343,1.4112,0.62102
0.95193,1.2328,1.5873,2.3415e-09
0.99326,0.46024,1.1562,6.8484e-09
1.3094,0.42883,0.28928,0.43947
0.82432,0.35199,0.29394,0.39759
0.50474,2.0429,1.931,1.931
0.69701,0.37993,0.85632,1.2219
1.5845,1.3583,1.2024,1.3842
1.0066,1.0891,2.0979,2.0979
2.4367,6.9515e-09,1.7068,7.9025e-09
0.5502,0.78578,0.0035115,0.65362
1.2837,1.2912,1.2221,0.033254
1.4974,1.8114,0.21268,0.13079
0.54642,1.4258,2.0663,1.4901e-09
0.38301,1.0397,1.054,1.1544
0.49037,0.80938,1.8046,1.7766
0.67494,0.30345,0.25808,0.32753
1.0183,0.35232,0.2705,0.36152
1.1969,0.40901,0.307,0.004751
1.1965,1.1207,1.318,1.318
0.76273,0.39392,0.32499,0.47745
0.77059,0.32315,0.2668,0.32876
0.72749,0.34944,0.26897,0.40314
0.7584,1.0857,0.70477,4.6984e-09
2.185,0.59606,0.17524,0.2997
1.493,1.0835,0.3765,0.12453
0.39458,1.0673,1.6176,4.6263e-09
1.1893,0.43293,0.30121,0.36069
1.0376,8.5206e-09,8.5206e-09,1.0376
7.0245e-09,2.1906,1.0727,7.0245e-09
1.8214,0.91159,0.91159,0.91159
0.42594,1.1815,0.45043,7.3344e-09
0.79439,1.0833,1.09,8.105e-09
1.1049,1.4983,0.35342,0.024598
1.7375,0.94011,0.28334,1.2826
1.056,1.1549,4.4703e-09,1.1436
1.1016,1.9889,0.66328,9.9195e-09
1.266,0.83982,1.2018,3.9135e-09
1.0148,0.44877,0.4268,0.50985
1.6779,0.57282,0.31826,0.72793
1.4319,1.3878e-17,0.17568,1.3878e-17
0.98413,0.36549,0.88484,0.64416
0.85465,1.7992,0.17131,0.92993
1.2107,0.48373,0.23128,1.5877
2.1212,0.47088,0.73359,0.73359
1.9408,0,1.9408,1.9408
1.0015,0.56656,0.68643,0.96712
1.1502,0.45121,0.40399,0.43983
0.85916,0.37099,0.3165,0.45682
0.36511,0.87704,1.6484,0.77242
1.5405,1.5572,1.5172,0
1.2783,1.8165,1.7928,1.7928
1.4536,5.9958e-09,1.3153,2.4835e-09
0.4764,0.72443,0.44392,0.44783
1.0305,0.37845,0.36805,0.41976
0.68567,0.35372,0.78693,0.010043
0.41551,0.3215,0.38411,7.1556e-09
0.43164,0.39384,2.2113,1.1548e-08
2.0669,0.26214,1.1471,1.1326e-08
0.057583,0.88135,7.4506e-09,7.4506e-09
0.30033,0.52832,1.5546,7.6685e-09
1.8201,2.0506,0.84824,1.5923
1.1609,1.37,0.74517,0.724
0.32462,0.29071,0,1.1014
0.90395,0.32025,0.2728,0.34692
1.4509,0.46117,1.1358,0.49423
2.3512,1.6858,1.6858,2.1729
0.65367,0.3166,1.5034,6.6227e-09
